Date,Open,High,Low,Close,Volume
2005-01-03,41.652,41.975,40.905,40.944,4668068
2005-01-04,41.09,41.09,40.067,40.149,5798398
2005-01-05,40.164,41.072,39.806,40.818,6643405
2005-01-06,40.71,41.063,40.438,40.551,3830036
2005-01-07,40.567,40.846,40.247,40.418,2436299
2005-01-10,40.27,41.232,40.247,40.953,3582436
2005-01-11,40.996,41.045,40.665,40.826,2544601
2005-01-12,40.972,41.741,40.926,41.723,5136382
2005-01-13,41.693,41.894,40.639,40.674,5293733
2005-01-14,40.647,40.962,40.247,40.896,3839744
2005-01-18,40.567,41.749,40.527,41.676,4403542
2005-01-19,41.449,41.662,41.218,41.297,3389980
2005-01-20,41.045,41.38,40.87,40.888,3059221
2005-01-21,40.687,40.953,40.173,40.224,3229389
2005-01-24,40.431,40.647,39.781,39.875,3758581
2005-01-25,40.284,40.334,39.781,40.037,3678041
2005-01-26,39.814,40.438,39.781,40.052,4120709
2005-01-27,39.798,40.972,39.798,40.944,5861759
2005-01-28,40.944,40.953,39.798,40.101,4627238
2005-01-31,40.367,40.674,40.224,40.647,4847950
2005-02-01,40.647,41.114,40.342,41.001,3342053
2005-02-02,41.449,42.488,41.307,41.957,7587744
2005-02-03,42.538,42.538,41.723,41.773,5277177
2005-02-04,41.732,42.496,41.693,42.237,4139010
2005-02-07,42.11,42.328,42.012,42.176,4644792
2005-02-08,42.293,43.074,42.086,42.978,7557121
2005-02-09,42.978,43.509,42.866,43.474,6023590
2005-02-10,43.474,43.726,43.082,43.266,4524914
2005-02-11,43.177,43.619,42.858,43.492,2744028
2005-02-14,43.385,43.644,43.153,43.41,3588663
2005-02-15,43.578,44.036,43.385,43.726,4256522
2005-02-16,43.501,43.611,43.218,43.315,3445128
2005-02-17,43.539,43.741,43.04,43.106,5145969
2005-02-18,43.114,43.114,42.213,42.398,6023834
2005-02-22,42.052,42.213,41.827,41.894,4145109
2005-02-23,42.414,42.665,42.221,42.352,5070158
2005-02-24,42.737,43.331,42.546,43.331,4843219
2005-02-25,43.056,44.207,42.84,44.171,5608183
2005-02-28,44.102,44.224,43.948,44.156,5737022
2005-03-01,44.163,44.366,43.586,43.77,5326845
2005-03-02,43.741,44.518,43.677,44.426,5586774
2005-03-03,44.544,46.646,44.44,46.129,11065612
2005-03-04,46.297,47.186,45.783,46.898,8247892
2005-03-07,46.207,46.927,45.989,46.831,7995560
2005-03-08,46.839,47.141,46.442,46.71,5731921
2005-03-09,46.472,46.633,46.142,46.391,4364198
2005-03-10,46.399,46.88,46.342,46.579,4246192
2005-03-11,46.472,46.771,45.95,46.181,4074773
2005-03-14,46.189,46.587,46.029,46.358,4073530
