Date,Open,High,Low,Close,Volume
2005-01-03,26.7091,26.8355,26.2221,26.3136,2151242.0627303
2005-01-04,26.3136,26.4564,26.0434,26.0434,2372956.5775142
2005-01-05,26.0434,26.2805,25.8442,25.8442,3071979.7319716
2005-01-06,25.7722,25.8986,25.5914,25.8442,2378278.0468858
2005-01-07,26.0055,26.2047,25.8266,25.918,1691542.0129301
2005-01-10,26.0055,26.2805,25.9325,26.2047,2451491.4645326
2005-01-11,26.2416,26.2416,25.8442,26.0055,1570448.7466358
2005-01-12,26.0055,26.331,25.8081,26.2601,2799050.7045355
2005-01-13,26.2047,26.4923,26.1678,26.2941,1780643.700112
2005-01-14,26.331,26.5848,26.1678,26.4011,1332077.3742231
2005-01-18,26.4419,26.7091,26.2416,26.676,2704616.230085
2005-01-19,26.7295,26.9647,26.5848,26.6022,2195698.7619965
2005-01-20,26.6022,26.8355,26.3495,26.6372,2092411.6343225
2005-01-21,26.6372,26.6927,26.2601,26.3136,2428738.3760404
2005-01-24,26.4564,26.8899,26.3136,26.748,2239585.4508158
2005-01-25,26.7829,26.9268,26.331,26.4225,2661876.7644577
2005-01-26,26.5303,27.2525,26.5137,27.2154,3458284.2488738
2005-01-27,27.2154,27.612,27.0531,27.4157,3966447.5334646
2005-01-28,27.3769,27.5216,27.0531,27.4517,2741462.1580942
2005-01-31,27.9911,28.2282,27.8288,28.1359,6127775.9001874
2005-02-01,28.2448,28.5324,28.1184,28.442,6790344.1085306
2005-02-02,28.442,28.442,28.1359,28.2613,3856777.1119042
2005-02-03,28.3166,28.6228,28.1563,28.5324,3733115.7118991
2005-02-04,28.5324,29.1272,28.4779,29.0913,3556812.7153252
2005-02-07,29.0913,29.0913,28.7675,28.7675,2880639.3659341
2005-02-08,28.8386,28.858,28.4585,28.5509,4522961.9027765
2005-02-09,28.0833,28.2807,27.9016,28.098,4492594.9563281
2005-02-10,28.1563,28.2069,27.8842,28.1903,2993635.191402
2005-02-11,28.1903,28.3351,28.0639,28.1359,2807999.0454334
2005-02-14,28.6773,28.9843,28.4983,28.7871,4056116.1443944
2005-02-15,28.858,28.9115,28.7337,28.8386,2520224.0238825
2005-02-16,28.7491,28.893,28.5324,28.7337,3051039.5647927
2005-02-17,28.8065,28.8386,28.3526,28.3701,3825554.1208855
2005-02-18,28.3701,28.3701,27.9561,27.9746,3609933.7791656
2005-02-22,27.8482,27.8638,27.3632,27.3953,5028740.1978077
2005-02-23,26.9074,28.0465,26.9074,27.6829,2217504.2338431
2005-02-24,28.3701,28.3701,27.7413,28.2992,4335520.0377925
2005-02-25,28.5704,29.0193,28.4983,28.7871,5108320.4469455
2005-02-28,28.893,28.9659,28.2069,28.3526,4419102.706856
2005-03-01,28.3886,28.7337,28.3886,28.6403,3007435.8233975
2005-03-02,28.5324,28.7675,28.3701,28.6034,3321489.9727942
2005-03-03,28.6228,28.7871,28.2807,28.5324,2912715.3148238
2005-03-04,28.7871,29.2391,28.7491,29.0913,3220679.4067554
2005-03-07,29.4013,29.617,29.3274,29.5442,4473841.2010622
2005-03-08,29.5442,29.5442,29.2391,29.4178,2741462.1580942
2005-03-09,29.3634,29.3634,28.7491,28.7491,3633254.8203055
2005-03-10,28.7871,29.2536,28.6947,29.1642,3480561.9856936
2005-03-11,29.1642,29.2196,28.8386,28.858,2350586.2397192
2005-03-14,28.8386,29.2925,28.8192,29.2391,3216489.72708
2005-03-15,29.4178,29.4898,29.0387,29.0387,3779571.5633289
2005-03-16,29.1272,29.1992,28.4585,28.6034,3985389.57738
2005-03-17,28.8192,29.0038,28.5704,28.9309,3006387.3745789
2005-03-18,28.9309,28.9843,28.516,28.8386,3513307.7483035
2005-03-21,28.5704,29.1642,28.5704,28.9475,2712044.8860909
2005-03-22,29.4178,29.5626,28.7337,28.7337,5063867.8632782
2005-03-23,28.7491,28.7491,28.2069,28.4983,3880195.8985177
2005-03-24,28.8386,29.2701,28.7871,29.0387,3746734.2286435
2005-03-28,29.2536,29.344,29.0913,29.2701,2976306.4622537
2005-03-29,29.1992,29.4013,28.8192,28.8192,3142996.4487082
2005-03-30,28.893,29.3634,28.893,29.3634,2489955.8518074
2005-03-31,29.4732,29.5782,29.344,29.4178,3359184.7430756
2005-04-01,29.6355,29.9213,29.4898,29.7406,2941085.1669083
2005-04-04,29.7406,29.8708,29.4898,29.8328,2841795.3146612
2005-04-05,29.8494,29.9407,29.69,29.9407,2375905.4041226
2005-04-06,30.0321,30.3023,29.9931,30.1731,5089568.7494791
2005-04-07,30.1731,30.3217,30.0671,30.2643,3516828.6431584
2005-04-08,30.2818,30.3023,29.7784,29.7784,2493567.289838
2005-04-11,29.8872,30.2643,29.8328,30.101,2464628.4562062
2005-04-12,29.7239,30.3742,29.5073,30.3023,3754821.3804727
2005-04-13,30.1925,30.3373,29.8328,29.9213,2376668.8477177
2005-04-14,29.8708,30.0486,29.69,29.69,2163329.5766856
2005-04-15,29.7075,29.8134,29.2925,29.2925,3316060.4689517
2005-04-18,29.3634,29.5442,29.1992,29.2925,5528611.5795244
2005-04-19,29.7075,29.9931,29.344,29.8872,3138713.139158
2005-04-20,29.7784,30.0486,29.6491,29.7609,3209253.4753225
2005-04-21,29.9407,30.3907,29.8872,30.3023,3466949.6423477
2005-04-22,30.3023,30.5734,30.139,30.4092,3722645.6283098
2005-04-25,30.6288,30.6793,30.2489,30.3907,2543642.8104959
2005-04-26,30.3907,30.4627,30.101,30.101,3596126.9737718
2005-04-27,30.1205,30.3742,29.7406,30.2109,2673107.2049432
2005-04-28,30.0856,30.6288,30.0486,30.2313,4386068.8523234
2005-04-29,30.3023,30.6599,30.0856,30.6599,2974117.9925412
2005-05-02,30.7347,30.9331,30.5006,30.5365,2208549.7195469
2005-05-03,30.4627,30.7698,30.3558,30.6599,2908336.3175994
2005-05-04,30.6599,30.9525,30.3558,30.8262,4065636.5535389
2005-05-05,30.9331,31.0049,30.4627,30.9331,6142630.1255001
2005-05-06,30.9331,30.9875,30.6288,30.8436,3693512.3326302
2005-05-09,30.3023,30.6793,29.8134,30.2643,16199915.030168
2005-05-10,30.1925,30.1925,29.0913,29.4343,13420755.015093
2005-05-11,29.1486,29.1992,28.893,29.0193,5806492.7013313
2005-05-12,29.5986,29.5986,28.7141,29.0387,5582207.9950373
2005-05-13,29.1486,29.6491,28.7675,28.9659,6412034.1424825
2005-05-16,29.0193,29.1272,28.858,29.0913,3543300.1752525
2005-05-17,29.0913,29.6705,28.9843,29.617,3482560.1089573
2005-05-18,29.7239,29.7969,29.4013,29.4178,3914848.2123157
2005-05-19,29.4343,29.5442,29.3109,29.3819,3727217.0297826
2005-05-20,29.4178,29.4732,29.344,29.3634,3837071.6243937
2005-05-23,29.4013,29.4178,29.1117,29.1272,4089531.7207245
2005-05-24,29.1642,29.2701,29.0387,29.1486,3792236.2900292
2005-05-25,29.1486,29.1992,29.0193,29.1117,4055832.1680707
2005-05-26,29.2536,29.2701,28.9843,29.0038,3099015.1011143
2005-05-27,29.0193,29.0913,28.9659,29.0387,2701286.7105787
2005-05-31,28.9843,29.1486,28.8386,28.858,5093946.7178039
2005-06-01,28.858,29.2196,28.858,29.1117,3476565.7391664
2005-06-02,29.1992,29.3274,29.1486,29.3109,3469803.8101815
2005-06-03,29.4013,29.5257,29.1117,29.2925,2652069.2922904
2005-06-06,29.3634,29.4178,29.2391,29.3634,3023619.3871533
2005-06-07,29.3634,29.617,29.1992,29.2701,3460856.4981833
2005-06-08,29.3634,29.5257,29.1642,29.2391,2593334.551557
2005-06-09,29.2391,29.6491,29.1486,29.6491,2869400.694251
2005-06-10,29.6491,29.7075,29.4509,29.5626,2837699.2648608
2005-06-13,29.5782,29.9049,29.5257,29.8328,3077311.4903403
2005-06-14,29.8872,30.1731,29.8872,30.1731,2973359.6934447
2005-06-15,30.1925,30.1925,29.6355,29.8872,3431729.375902
2005-06-16,30.0486,30.1731,29.8134,30.0671,3385750.9339442
2005-06-17,30.0856,30.519,30.0671,30.4627,4147317.8159127
2005-06-20,30.4627,30.7698,30.2643,30.6463,2407320.7993896
2005-06-21,30.6599,30.7698,30.4092,30.59,1648514.4553802
2005-06-22,30.7698,30.862,30.6599,30.8076,2222160.0050934
2005-06-23,30.8262,31.2761,30.7533,31.0253,3361471.9871617
2005-06-24,31.0253,31.1148,30.6463,30.6599,2178469.8361215
2005-06-27,30.7347,31.1489,30.6288,31.0594,2542877.3091015
2005-06-28,31.0594,31.3112,30.968,31.2586,2698812.206743
2005-06-29,31.3306,31.35,31.0049,31.0768,2514225.5384927
2005-06-30,31.3306,31.4929,31.1312,31.2217,4282402.0606513
2005-07-01,31.3112,31.5298,31.2761,31.5123,2445019.68527
2005-07-05,31.5123,31.7095,31.2052,31.6018,2124873.4206086
2005-07-06,31.6018,31.6552,30.8436,30.9331,3989954.8054545
2005-07-07,30.8787,31.35,30.4627,31.2217,5431229.3073652
2005-07-08,31.3112,31.4734,31.1312,31.4015,3549294.5450433
2005-07-11,31.4015,31.6766,31.4015,31.5123,3136427.9528713
2005-07-12,31.4734,31.6377,31.3112,31.5647,3001246.9915588
2005-07-13,31.5463,31.8359,31.5298,31.802,2510036.887717
2005-07-14,31.9603,32.0916,31.3306,31.4734,2729937.4522879
2005-07-15,31.4734,31.5463,31.3112,31.4559,2404369.9149817
2005-07-18,31.3112,31.5123,31.2927,31.3112,1373774.5644301
2005-07-19,31.4015,31.5463,31.0768,31.5123,2512038.0976798
2005-07-20,31.5123,31.5298,31.0768,31.4015,2287938.5933361
2005-07-21,31.1489,31.35,30.8076,30.8961,3909329.1941973
2005-07-22,31.0049,31.3306,30.9146,31.2586,1767128.0733401
2005-07-25,31.2586,31.3112,31.043,31.043,1380245.3147932
2005-07-26,31.1877,31.3112,31.043,31.1312,1700300.0073791
2005-07-27,31.1877,31.2761,31.043,31.2761,1922386.9838631
2005-07-28,31.2586,31.2761,30.555,30.8787,4943917.7045769
2005-07-29,30.8076,31.1312,30.7882,31.0253,2798001.2268172
2005-08-01,31.0049,31.0253,30.7533,30.8076,2267667.2109776
2005-08-02,30.8076,31.4404,30.8076,31.2586,2928329.8970323
2005-08-03,30.7698,31.4559,30.7698,31.1489,3386129.5690427
2005-08-04,31.1673,31.1673,30.7533,30.7533,2136198.5198684
2005-08-05,30.7533,30.7698,30.3023,30.555,3680089.3068334
2005-08-08,30.519,30.5734,29.7406,29.8708,3906469.8818649
2005-08-09,29.9777,30.0321,29.7969,29.9407,2848365.8682975
2005-08-10,29.617,29.9931,29.4343,29.617,3545678.9914139
2005-08-11,29.5626,29.7969,29.4013,29.6705,3807277.7750915
2005-08-12,29.5782,29.7969,29.4178,29.5626,2360294.937513
2005-08-15,29.6491,29.9213,29.5986,29.8494,2706904.5030708
2005-08-16,29.9407,29.9931,29.5442,29.5626,2415507.754492
2005-08-17,29.5257,29.6705,29.2925,29.3274,2263859.2530999
2005-08-18,29.3274,29.6491,29.2391,29.5626,2445492.9791429
2005-08-19,29.69,29.9407,29.69,29.9213,2843703.9236489
2005-08-22,29.9407,30.2489,29.8708,29.9407,3243331.6630746
2005-08-23,30.101,30.3558,30.101,30.3023,3128049.6224205
2005-08-24,30.3217,30.5006,30.0486,30.0671,4152077.506035
2005-08-25,30.1925,30.449,30.139,30.3907,2344685.4998032
2005-08-26,30.4286,30.4627,30.1584,30.3023,2048623.7198767
2005-08-29,30.0671,30.2643,30.0671,30.1731,2046047.3549682
2005-08-30,30.1925,30.3558,30.0321,30.2818,3192305.4390719
2005-08-31,30.2818,30.4627,30.1205,30.449,3245523.2194863
2005-09-01,30.449,30.6463,30.3023,30.4627,4023368.3239852
2005-09-02,30.555,30.6288,30.4092,30.4627,2227306.5615119
2005-09-06,30.4811,30.7163,30.4286,30.6288,3068366.2361415
2005-09-07,30.6463,30.6793,30.4092,30.5365,3454099.7136971
2005-09-08,30.6793,30.6793,30.449,30.5006,2508706.5203741
2005-09-09,30.4811,30.6998,30.3023,30.449,4012613.2351722
2005-09-12,30.4811,30.59,30.4092,30.5006,2320404.495221
2005-09-13,30.6463,30.6793,30.3558,30.449,2564680.7231487
2005-09-14,30.5734,30.6793,30.4286,30.449,3710175.3636572
2005-09-15,30.6085,30.7163,30.4627,30.6288,2558205.8571868
2005-09-16,30.7698,30.862,30.519,30.8436,5280626.1680925
2005-09-19,30.8787,30.9525,30.519,30.555,3602128.5458609
2005-09-20,30.555,30.6288,30.3023,30.3217,3481704.0643871
2005-09-21,30.3217,30.4286,29.9407,29.9601,3357469.567236
2005-09-22,29.9407,29.9407,29.5986,29.69,5519853.5850754
2005-09-23,29.69,29.7075,29.4898,29.5626,3696941.6554097
2005-09-26,29.5626,29.8134,29.5257,29.5782,3718747.1272563
2005-09-27,29.617,29.9777,29.5073,29.7784,2556012.2429755
2005-09-28,29.9407,30.139,29.8494,30.139,3452864.0051288
2005-09-29,30.0486,30.7347,29.9601,30.5734,3552907.0119736
2005-09-30,30.6288,30.7698,30.3217,30.6463,2931183.0359664
2005-10-03,30.6463,30.8262,30.3907,30.555,2843703.9236489
2005-10-04,30.6599,30.6599,29.7075,29.7406,3045418.6856015
2005-10-05,29.6705,29.9407,28.9309,28.9475,5734143.5594523
2005-10-06,28.9843,29.3634,28.1563,28.7337,5800972.6543131
2005-10-07,28.7871,29.0748,28.7871,28.9843,2526411.8268214
2005-10-10,28.9843,29.0387,28.2448,28.3701,3000393.004788
2005-10-11,28.5324,28.7491,28.2448,28.2807,4603018.5324864
2005-10-12,28.2613,28.516,27.6684,27.7413,5418283.6910403
2005-10-13,27.7413,28.0639,27.1815,27.197,10297084.389897
2005-10-14,27.197,27.4157,26.9978,27.2854,7955924.9294474
2005-10-17,27.162,27.5586,27.1436,27.3632,6504468.4358698
2005-10-18,27.1815,27.2699,26.6547,26.6927,5554604.6732469
2005-10-19,26.5303,27.0531,26.3854,27.0531,6234587.0094155
2005-10-20,27.1085,27.1085,26.331,26.4225,4496305.1687322
2005-10-21,26.4225,26.8899,26.4225,26.6022,3299596.0155713
2005-10-24,27.0891,27.3039,26.855,27.2525,3869629.0983542
2005-10-25,27.3224,27.6829,27.1436,27.6684,6188511.8508838
2005-10-26,27.6684,27.9367,27.3632,27.4323,4934394.2087335
2005-10-27,27.6294,27.6829,27.1085,27.1436,2531457.551067
2005-10-28,27.0891,27.7413,27.0891,27.7413,3551198.0095325
2005-10-31,27.8288,28.098,27.7413,27.8121,4407200.394851
2005-11-01,27.7928,27.8121,27.4866,27.5071,3472471.7471653
2005-11-02,28.3526,28.3526,27.3632,28.0066,4188627.1109238
2005-11-03,28.2807,28.2807,27.6829,27.7734,3605556.8397406
2005-11-04,27.9911,28.0639,27.6829,27.9016,2176373.967384
2005-11-07,27.8842,28.0066,27.4866,27.5216,3795569.9251343
2005-11-08,27.5071,27.7015,27.4157,27.5216,3859631.279738
2005-11-09,27.2854,27.7413,26.9783,27.5392,5730237.8561008
2005-11-10,27.5586,27.612,27.162,27.5955,3117197.8170335
2005-11-11,27.579,27.579,27.0531,27.1815,2830846.7927002
2005-11-14,27.2154,27.3448,26.8744,26.9268,2484812.3820882
2005-11-15,26.9452,27.4672,26.9268,27.3632,3282171.5987487
2005-11-16,27.4672,27.9367,27.4323,27.7734,3213446.2416969
2005-11-17,27.7413,28.2448,27.7413,28.2069,3317682.0149164
2005-11-18,28.516,28.516,28.0465,28.3166,3841545.2803929
2005-11-21,28.3526,28.516,28.2613,28.3886,2290514.9582446
2005-11-22,28.3351,28.516,28.1359,28.3886,2084987.0939154
2005-11-23,28.3701,28.7141,28.2448,28.6228,2038533.3002852
2005-11-25,28.7141,28.8386,28.5324,28.6228,718730.69976716
2005-11-28,28.5898,28.858,28.4779,28.7675,2737271.4495191
2005-11-29,28.893,28.9115,28.6403,28.6403,2363054.4465723
